Index,路名,起點,終點,速限,經度,緯度,Geohash
213,國道5號,14.7k,54.3k,90,121.780980,24.814530,wsqt5jq
214,國道5號,14.7k,54.3k,90,121.780980,24.814500,wsqt5jq
215,國道5號,14.7k,54.3k,90,121.780960,24.814380,wsqt5jq
216,國道5號,14.7k,54.3k,90,121.780950,24.814330,wsqt5jq
217,國道5號,14.7k,54.3k,90,121.780940,24.814200,wsqt5jq
218,國道5號,14.7k,54.3k,90,121.780930,24.814020,wsqt5jq
219,國道5號,14.7k,54.3k,90,121.780930,24.814000,wsqt5jq
220,國道5號,14.7k,54.3k,90,121.780910,24.813780,wsqt5jn
221,國道5號,14.7k,54.3k,90,121.780910,24.813570,wsqt5jn
222,國道5號,14.7k,54.3k,90,121.780900,24.813360,wsqt5jn
223,國道5號,14.7k,54.3k,90,121.780890,24.813140,wsqt5jn
224,國道5號,14.7k,54.3k,90,121.780890,24.812930,wsqt5jn
225,國道5號,14.7k,54.3k,90,121.780900,24.812720,wsqt5jn
226,國道5號,14.7k,54.3k,90,121.780910,24.812590,wsqt5hy
227,國道5號,14.7k,54.3k,90,121.780910,24.812560,wsqt5hy
228,國道5號,14.7k,54.3k,90,121.780910,24.812530,wsqt5hy
229,國道5號,14.7k,54.3k,90,121.780910,24.812510,wsqt5hy
230,國道5號,14.7k,54.3k,90,121.780920,24.812290,wsqt5hy
231,國道5號,14.7k,54.3k,90,121.780940,24.812080,wsqt5hy
232,國道5號,14.7k,54.3k,90,121.780950,24.811870,wsqt5hy
233,國道5號,14.7k,54.3k,90,121.780980,24.811660,wsqt5hy
234,國道5號,14.7k,54.3k,90,121.781010,24.811450,wsqt5hy
235,國道5號,14.7k,54.3k,90,121.781040,24.811230,wsqt5hw
236,國道5號,14.7k,54.3k,90,121.781070,24.811020,wsqt5hw
237,國道5號,14.7k,54.3k,90,121.781110,24.810810,wsqt5hw
238,國道5號,14.7k,54.3k,90,121.781140,24.810600,wsqt5hw
239,國道5號,14.7k,54.3k,90,121.781190,24.810390,wsqt5hw
240,國道5號,14.7k,54.3k,90,121.781230,24.810190,wsqt5hw
241,國道5號,14.7k,54.3k,90,121.781290,24.809980,wsqt5hw
242,國道5號,14.7k,54.3k,90,121.781340,24.809770,wsqt5hq
243,國道5號,14.7k,54.3k,90,121.781400,24.809560,wsqt5hq
244,國道5號,14.7k,54.3k,90,121.781460,24.809360,wsqt5hq
245,國道5號,14.7k,54.3k,90,121.781520,24.809150,wsqt5hq
246,國道5號,14.7k,54.3k,90,121.781580,24.808950,wsqt5hq
247,國道5號,14.7k,54.3k,90,121.781640,24.808740,wsqt5hq
248,國道5號,14.7k,54.3k,90,121.781730,24.808410,wsqt5hn
249,國道5號,14.7k,54.3k,90,121.781750,24.808360,wsqt5hn
250,國道5號,14.7k,54.3k,90,121.781750,24.808330,wsqt5hn
251,國道5號,14.7k,54.3k,90,121.781760,24.808310,wsqt5hn
252,國道5號,14.7k,54.3k,90,121.781780,24.808220,wsqt5hn
253,國道5號,14.7k,54.3k,90,121.781910,24.807760,wsqt5hn
254,國道5號,14.7k,54.3k,90,121.781920,24.807730,wsqt5hn
255,國道5號,14.7k,54.3k,90,121.781930,24.807680,wsqt5hn
256,國道5號,14.7k,54.3k,90,121.782050,24.807240,wsqt5hn
